Protein,logFC,AveExpr,t,P.Value,B,group_effect,group_pvalue,time_effect,time_pvalue,interaction_effect,interaction_pvalue,aic,bic,n_obs,test_method,adj.P.Val,Significant,Significance,Description,Gene,Protein Gene,UniProt_Accession,UniProt_Entry_Name,UniProt_Database
sp|P02655|APOC2_HUMAN,0.41485855521062415,23.335421420820204,,0.0011260404799295705,,0.41485855521062415,0.0011260404799295705,,,,,,,50,Mixed-effects model (Wald F-test on time),0.12311085907549228,False,Not significant,Apolipoprotein C-II,APOC2,APOC2,P02655,APOC2_HUMAN,SwissProt
sp|P05154|IPSP_HUMAN,-0.6790222262113534,21.758946340227794,,0.0011813782072952015,,-0.6790222262113534,0.0011813782072952015,,,,,,,50,Mixed-effects model (Wald F-test on time),0.12311085907549228,False,Not significant,Plasma serine protease inhibitor,SERPINA5,SERPINA5,P05154,IPSP_HUMAN,SwissProt
sp|P31946|1433B_HUMAN,0.26258000980940044,18.67934163463614,,0.0011925198995533703,,0.26258000980940044,0.0011925198995533703,,,,,,,50,Mixed-effects model (Wald F-test on time),0.12311085907549228,False,Not significant,14-3-3 protein beta/alpha,YWHAB,YWHAB,P31946,1433B_HUMAN,SwissProt
sp|Q14392|LRC32_HUMAN,-0.7109907717049226,12.512289724572156,,0.0012899864372707258,,-0.7109907717049226,0.0012899864372707258,,,,,,,50,Mixed-effects model (Wald F-test on time),0.12311085907549228,False,Not significant,Transforming growth factor beta activator LRRC32,LRRC32,LRRC32,Q14392,LRC32_HUMAN,SwissProt
sp|Q9UNM6|PSD13_HUMAN,0.7537919332462323,14.30188017049662,,0.0012909196130229355,,0.7537919332462323,0.0012909196130229355,,,,,,,50,Mixed-effects model (Wald F-test on time),0.12311085907549228,False,Not significant,26S proteasome non-ATPase regulatory subunit 13,PSMD13,PSMD13,Q9UNM6,PSD13_HUMAN,SwissProt
sp|P62879|GBB2_HUMAN,-0.34894281374223934,17.312622836504737,,0.0013737354803887427,,-0.34894281374223934,0.0013737354803887427,,,,,,,50,Mixed-effects model (Wald F-test on time),0.12311085907549228,False,Not significant,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,GNB2,P62879,GBB2_HUMAN,SwissProt
sp|Q12884|SEPR_HUMAN,0.4091522092827994,15.977165001583215,,0.0013738459129445707,,0.4091522092827994,0.0013738459129445707,,,,,,,50,Mixed-effects model (Wald F-test on time),0.12311085907549228,False,Not significant,Prolyl endopeptidase FAP,FAP,FAP,Q12884,SEPR_HUMAN,SwissProt
sp|Q8TDL5|BPIB1_HUMAN,0.5133585634948796,18.865534812694385,,0.0014038957613871927,,0.5133585634948796,0.0014038957613871927,,,,,,,50,Mixed-effects model (Wald F-test on time),0.12311085907549228,False,Not significant,BPI fold-containing family B member 1,BPIFB1,BPIFB1,Q8TDL5,BPIB1_HUMAN,SwissProt
sp|Q00610|CLH1_HUMAN,0.29231158984945,17.257365113982164,,0.0015107563027009763,,0.29231158984945,0.0015107563027009763,,,,,,,50,Mixed-effects model (Wald F-test on time),0.12701205234618357,False,Not significant,Clathrin heavy chain 1,CLTC,CLTC,Q00610,CLH1_HUMAN,SwissProt
sp|O75822|EIF3J_HUMAN,-2.886366618835467,8.747922446476682,,0.0015597971340759386,,-2.886366618835467,0.0015597971340759386,,,,,,,50,Mixed-effects model (Wald F-test on time),0.12701205234618357,False,Not significant,Eukaryotic translation initiation factor 3 subunit J,EIF3J,EIF3J,O75822,EIF3J_HUMAN,SwissProt
sp|P62333|PRS10_HUMAN,0.9178821316163263,15.923372359240837,,0.0017037703692742267,,0.9178821316163263,0.0017037703692742267,,,,,,,50,Mixed-effects model (Wald F-test on time),0.13395160144638749,False,Not significant,26S proteasome regulatory subunit 10B,PSMC6,PSMC6,P62333,PRS10_HUMAN,SwissProt
sp|O75131|CPNE3_HUMAN,-0.4350592131747497,14.549689000692238,,0.0018152607352821145,,-0.4350592131747497,0.0018152607352821145,,,,,,,50,Mixed-effects model (Wald F-test on time),0.1379598158814407,False,Not significant,Copine-3,CPNE3,CPNE3,O75131,CPNE3_HUMAN,SwissProt
sp|E9PAV3|NACAM_HUMAN,-0.9419031224702965,9.691182359684653,,0.0019420757495121265,,-0.9419031224702965,0.0019420757495121265,,,,,,,50,Mixed-effects model (Wald F-test on time),0.14283653899637574,False,Not significant,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",NACA,NACA,E9PAV3,NACAM_HUMAN,SwissProt
sp|P08708|RS17_HUMAN,1.084240442411184,11.971202374313664,,0.0020186968870011326,,1.084240442411184,0.0020186968870011326,,,,,,,50,Mixed-effects model (Wald F-test on time),0.1438321531988307,False,Not significant,Small ribosomal subunit protein eS17,RPS17,RPS17,P08708,RS17_HUMAN,SwissProt
sp|P55209|NP1L1_HUMAN,0.4029567211245249,16.1131551453401,,0.002094169141508039,,0.4029567211245249,0.002094169141508039,,,,,,,50,Mixed-effects model (Wald F-test on time),0.14468804977691907,False,Not significant,Nucleosome assembly protein 1-like 1,NAP1L1,NAP1L1,P55209,NP1L1_HUMAN,SwissProt
sp|Q9UBX5|FBLN5_HUMAN,0.38005435671440274,15.667716254998895,,0.002226898808445906,,0.38005435671440274,0.002226898808445906,,,,,,,50,Mixed-effects model (Wald F-test on time),0.14933321421343135,False,Not significant,Fibulin-5,FBLN5,FBLN5,Q9UBX5,FBLN5_HUMAN,SwissProt
sp|P36542|ATPG_HUMAN,0.5523880324004068,13.467243220494074,,0.0023759011659085457,,0.5523880324004068,0.0023759011659085457,,,,,,,50,Mixed-effects model (Wald F-test on time),0.15477299023632812,False,Not significant,"ATP synthase subunit gamma, mitochondrial",ATP5F1C,ATP5F1C,P36542,ATPG_HUMAN,SwissProt
sp|P57737|CORO7_HUMAN,0.44362470710581614,12.807347238149083,,0.0025819539771278835,,0.44362470710581614,0.0025819539771278835,,,,,,,50,Mixed-effects model (Wald F-test on time),0.1581898244637685,False,Not significant,Coronin-7,CORO7,CORO7,P57737,CORO7_HUMAN,SwissProt
sp|Q99627|CSN8_HUMAN,0.7631173470279099,13.670866912134091,,0.0026106701588462615,,0.7631173470279099,0.0026106701588462615,,,,,,,50,Mixed-effects model (Wald F-test on time),0.1581898244637685,False,Not significant,COP9 signalosome complex subunit 8,COPS8,COPS8,Q99627,CSN8_HUMAN,SwissProt
sp|P08697|A2AP_HUMAN,0.373450793436264,23.999777923593573,,0.0026398284198986626,,0.373450793436264,0.0026398284198986626,,,,,,,50,Mixed-effects model (Wald F-test on time),0.1581898244637685,False,Not significant,Alpha-2-antiplasmin,SERPINF2,SERPINF2,P08697,A2AP_HUMAN,SwissProt
sp|P19883|FST_HUMAN,0.28849299853706667,16.190699930647632,,0.002817452861366001,,0.28849299853706667,0.002817452861366001,,,,,,,50,Mixed-effects model (Wald F-test on time),0.1581898244637685,False,Not significant,Follistatin,FST,FST,P19883,FST_HUMAN,SwissProt
sp|Q86UN3|R4RL2_HUMAN,0.305117496626891,18.23000891452016,,0.0028361407256232633,,0.305117496626891,0.0028361407256232633,,,,,,,50,Mixed-effects model (Wald F-test on time),0.1581898244637685,False,Not significant,Reticulon-4 receptor-like 2,RTN4RL2,RTN4RL2,Q86UN3,R4RL2_HUMAN,SwissProt
sp|P22455|FGFR4_HUMAN,-0.6091466512444521,13.992647046078043,,0.0028446415802695214,,-0.6091466512444521,0.0028446415802695214,,,,,,,50,Mixed-effects model (Wald F-test on time),0.1581898244637685,False,Not significant,Fibroblast growth factor receptor 4,FGFR4,FGFR4,P22455,FGFR4_HUMAN,SwissProt
sp|P09871|C1S_HUMAN,0.32353067167950794,23.05993304942292,,0.002931693859832521,,0.32353067167950794,0.002931693859832521,,,,,,,50,Mixed-effects model (Wald F-test on time),0.15914909524805115,False,Not significant,Complement C1s subcomponent,C1S,C1S,P09871,C1S_HUMAN,SwissProt
sp|P62195|PRS8_HUMAN,0.7287912775033791,15.92315696419816,,0.003041780245477817,,0.7287912775033791,0.003041780245477817,,,,,,,50,Mixed-effects model (Wald F-test on time),0.16076087637194036,False,Not significant,26S proteasome regulatory subunit 8,PSMC5,PSMC5,P62195,PRS8_HUMAN,SwissProt
sp|P25787|PSA2_HUMAN,0.5047584135719014,18.954051058655015,,0.0031814373788164084,,0.5047584135719014,0.0031814373788164084,,,,,,,50,Mixed-effects model (Wald F-test on time),0.16076087637194036,False,Not significant,Proteasome subunit alpha type-2,PSMA2,PSMA2,P25787,PSA2_HUMAN,SwissProt
sp|O75558|STX11_HUMAN,-0.5677124832688126,15.838564850515255,,0.003256886333271817,,-0.5677124832688126,0.003256886333271817,,,,,,,50,Mixed-effects model (Wald F-test on time),0.16076087637194036,False,Not significant,Syntaxin-11,STX11,STX11,O75558,STX11_HUMAN,SwissProt
sp|P02751|FINC_HUMAN,1.0536114137458654,27.848952379357915,,0.003273695820041291,,1.0536114137458654,0.003273695820041291,,,,,,,50,Mixed-effects model (Wald F-test on time),0.16076087637194036,False,Not significant,Fibronectin,FN1,FN1,P02751,FINC_HUMAN,SwissProt
sp|O14744|ANM5_HUMAN,-0.9371663814283381,10.96133841046365,,0.003459213531392189,,-0.9371663814283381,0.003459213531392189,,,,,,,50,Mixed-effects model (Wald F-test on time),0.16076087637194036,False,Not significant,Protein arginine N-methyltransferase 5,PRMT5,PRMT5,O14744,ANM5_HUMAN,SwissProt
sp|P54750|PDE1A_HUMAN,0.4145862088046897,13.171821212049103,,0.0035874483988374544,,0.4145862088046897,0.0035874483988374544,,,,,,,50,Mixed-effects model (Wald F-test on time),0.16076087637194036,False,Not significant,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",PDE1A,PDE1A,P54750,PDE1A_HUMAN,SwissProt
sp|Q76LX8|ATS13_HUMAN,0.32842600130432487,16.822884087128642,,0.003600584326815837,,0.32842600130432487,0.003600584326815837,,,,,,,50,Mixed-effects model (Wald F-test on time),0.16076087637194036,False,Not significant,A disintegrin and metalloproteinase with thrombospondin motifs 13,ADAMTS13,ADAMTS13,Q76LX8,ATS13_HUMAN,SwissProt
sp|Q15126|PMVK_HUMAN,-3.793497933007282,8.20237741640361,,0.0036029530217711087,,-3.793497933007282,0.0036029530217711087,,,,,,,50,Mixed-effects model (Wald F-test on time),0.16076087637194036,False,Not significant,Phosphomevalonate kinase,PMVK,PMVK,Q15126,PMVK_HUMAN,SwissProt
sp|P62191|PRS4_HUMAN,0.8851084839549426,15.287200523535308,,0.003650097664840479,,0.8851084839549426,0.003650097664840479,,,,,,,50,Mixed-effects model (Wald F-test on time),0.16076087637194036,False,Not significant,26S proteasome regulatory subunit 4,PSMC1,PSMC1,P62191,PRS4_HUMAN,SwissProt
sp|Q9BXR6|FHR5_HUMAN,0.3385783020714446,19.134316040268907,,0.0036664761277810966,,0.3385783020714446,0.0036664761277810966,,,,,,,50,Mixed-effects model (Wald F-test on time),0.16076087637194036,False,Not significant,Complement factor H-related protein 5,CFHR5,CFHR5,Q9BXR6,FHR5_HUMAN,SwissProt
sp|Q92692|NECT2_HUMAN,-0.6786692688318399,11.298622241242155,,0.0038070938221387426,,-0.6786692688318399,0.0038070938221387426,,,,,,,50,Mixed-effects model (Wald F-test on time),0.1637768663108742,False,Not significant,Nectin-2,NECTIN2,NECTIN2,Q92692,NECT2_HUMAN,SwissProt
sp|P17980|PRS6A_HUMAN,0.5951841602138468,15.982261488137215,,0.004149826162014214,,0.5951841602138468,0.004149826162014214,,,,,,,50,Mixed-effects model (Wald F-test on time),0.1752148823961557,False,Not significant,26S proteasome regulatory subunit 6A,PSMC3,PSMC3,P17980,PRS6A_HUMAN,SwissProt
sp|P61201|CSN2_HUMAN,0.6601695866037629,13.582972271839271,,0.004361436672690197,,0.6601695866037629,0.004361436672690197,,,,,,,50,Mixed-effects model (Wald F-test on time),0.17526605911783888,False,Not significant,COP9 signalosome complex subunit 2,COPS2,COPS2,P61201,CSN2_HUMAN,SwissProt
sp|O75356|ENTP5_HUMAN,-0.3769795946421738,13.713815823136917,,0.00444475450904296,,-0.3769795946421738,0.00444475450904296,,,,,,,50,Mixed-effects model (Wald F-test on time),0.17526605911783888,False,Not significant,Nucleoside diphosphate phosphatase ENTPD5,ENTPD5,ENTPD5,O75356,ENTP5_HUMAN,SwissProt
sp|Q15052|ARHG6_HUMAN,-3.778154813748191,9.04805047795776,,0.00448367794020424,,-3.778154813748191,0.00448367794020424,,,,,,,50,Mixed-effects model (Wald F-test on time),0.17526605911783888,False,Not significant,Rho guanine nucleotide exchange factor 6,ARHGEF6,ARHGEF6,Q15052,ARHG6_HUMAN,SwissProt
sp|P35579|MYH9_HUMAN,0.5477723999055143,20.400400484287115,,0.004499312081278891,,0.5477723999055143,0.004499312081278891,,,,,,,50,Mixed-effects model (Wald F-test on time),0.17526605911783888,False,Not significant,Myosin-9,MYH9,MYH9,P35579,MYH9_HUMAN,SwissProt
sp|O00231|PSD11_HUMAN,0.7166271334329146,14.695650957862757,,0.004620142412477644,,0.7166271334329146,0.004620142412477644,,,,,,,50,Mixed-effects model (Wald F-test on time),0.17526605911783888,False,Not significant,26S proteasome non-ATPase regulatory subunit 11,PSMD11,PSMD11,O00231,PSD11_HUMAN,SwissProt
sp|Q8NBP7|PCSK9_HUMAN,0.4913469916607921,20.55787900657174,,0.004672341987290312,,0.4913469916607921,0.004672341987290312,,,,,,,50,Mixed-effects model (Wald F-test on time),0.17526605911783888,False,Not significant,Proprotein convertase subtilisin/kexin type 9,PCSK9,PCSK9,Q8NBP7,PCSK9_HUMAN,SwissProt
sp|Q15366|PCBP2_HUMAN,-0.4683525369621984,14.579590861275165,,0.004779390058131227,,-0.4683525369621984,0.004779390058131227,,,,,,,50,Mixed-effects model (Wald F-test on time),0.17526605911783888,False,Not significant,Poly(rC)-binding protein 2,PCBP2,PCBP2,Q15366,PCBP2_HUMAN,SwissProt
sp|P30101|PDIA3_HUMAN,0.24823492551089207,20.704260792381096,,0.004784836367615475,,0.24823492551089207,0.004784836367615475,,,,,,,50,Mixed-effects model (Wald F-test on time),0.17526605911783888,False,Not significant,Protein disulfide-isomerase A3,PDIA3,PDIA3,P30101,PDIA3_HUMAN,SwissProt
sp|P10645|CMGA_HUMAN,-0.5811277731936132,18.343691306091415,,0.004842877949308706,,-0.5811277731936132,0.004842877949308706,,,,,,,50,Mixed-effects model (Wald F-test on time),0.17526605911783888,False,Not significant,Chromogranin-A,CHGA,CHGA,P10645,CMGA_HUMAN,SwissProt
sp|O75348|VATG1_HUMAN,-1.1044267572134476,10.407111553638037,,0.005078876075841502,,-1.1044267572134476,0.005078876075841502,,,,,,,50,Mixed-effects model (Wald F-test on time),0.17907627503030746,False,Not significant,V-type proton ATPase subunit G 1,ATP6V1G1,ATP6V1G1,O75348,VATG1_HUMAN,SwissProt
sp|A0A075B6K5|LV39_HUMAN,0.4191991268379571,18.87589948043095,,0.005105244682881572,,0.4191991268379571,0.005105244682881572,,,,,,,50,Mixed-effects model (Wald F-test on time),0.17907627503030746,False,Not significant,Immunoglobulin lambda variable 3-9,IGLV3-9,IGLV3-9,A0A075B6K5,LV39_HUMAN,SwissProt
sp|P10915|HPLN1_HUMAN,-0.31842174927156747,14.357544351033425,,0.005266273282474024,,-0.31842174927156747,0.005266273282474024,,,,,,,50,Mixed-effects model (Wald F-test on time),0.1819258043036481,False,Not significant,Hyaluronan and proteoglycan link protein 1,HAPLN1,HAPLN1,P10915,HPLN1_HUMAN,SwissProt
sp|O43681|GET3_HUMAN,0.7008605772909646,15.403149093579525,,0.005897566733580301,,0.7008605772909646,0.005897566733580301,,,,,,,50,Mixed-effects model (Wald F-test on time),0.19958693646778358,False,Not significant,ATPase GET3,GET3,GET3,O43681,GET3_HUMAN,SwissProt
sp|P13798|ACPH_HUMAN,0.9253157813345306,18.01692962171009,,0.005967752404022812,,0.9253157813345306,0.005967752404022812,,,,,,,50,Mixed-effects model (Wald F-test on time),0.19958693646778358,False,Not significant,Acylamino-acid-releasing enzyme,APEH,APEH,P13798,ACPH_HUMAN,SwissProt
sp|Q9HAV0|GBB4_HUMAN,-0.3957936543787497,16.52000301387446,,0.006152190439196012,,-0.3957936543787497,0.006152190439196012,,,,,,,50,Mixed-effects model (Wald F-test on time),0.19958693646778358,False,Not significant,Guanine nucleotide-binding protein subunit beta-4,GNB4,GNB4,Q9HAV0,GBB4_HUMAN,SwissProt
sp|Q99436|PSB7_HUMAN,0.4669210172909649,17.378113790707946,,0.006161344888444933,,0.4669210172909649,0.006161344888444933,,,,,,,50,Mixed-effects model (Wald F-test on time),0.19958693646778358,False,Not significant,Proteasome subunit beta type-7,PSMB7,PSMB7,Q99436,PSB7_HUMAN,SwissProt
sp|Q08830|FGL1_HUMAN,0.9673566987083771,13.216246923812239,,0.006361817512918863,,0.9673566987083771,0.006361817512918863,,,,,,,50,Mixed-effects model (Wald F-test on time),0.19958693646778358,False,Not significant,Fibrinogen-like protein 1,FGL1,FGL1,Q08830,FGL1_HUMAN,SwissProt
sp|P54108|CRIS3_HUMAN,0.6337814994524985,13.333840668272085,,0.006376735199557878,,0.6337814994524985,0.006376735199557878,,,,,,,50,Mixed-effects model (Wald F-test on time),0.19958693646778358,False,Not significant,Cysteine-rich secretory protein 3,CRISP3,CRISP3,P54108,CRIS3_HUMAN,SwissProt
sp|Q15382|RHEB_HUMAN,0.8050135807392519,14.494101317222919,,0.006390283492170265,,0.8050135807392519,0.006390283492170265,,,,,,,50,Mixed-effects model (Wald F-test on time),0.19958693646778358,False,Not significant,GTP-binding protein Rheb,RHEB,RHEB,Q15382,RHEB_HUMAN,SwissProt
sp|Q9Y2T2|AP3M1_HUMAN,-1.2907946001503585,10.34710549692719,,0.006767032403313413,,-1.2907946001503585,0.006767032403313413,,,,,,,50,Mixed-effects model (Wald F-test on time),0.208497755129116,False,Not significant,AP-3 complex subunit mu-1,AP3M1,AP3M1,Q9Y2T2,AP3M1_HUMAN,SwissProt
sp|Q7Z7M8|B3GN8_HUMAN,-0.2178294218602847,15.788179488337223,,0.006986642162562063,,-0.2178294218602847,0.006986642162562063,,,,,,,50,Mixed-effects model (Wald F-test on time),0.21239392174188673,False,Not significant,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8",B3GNT8,B3GNT8,Q7Z7M8,B3GN8_HUMAN,SwissProt
sp|Q9UHG3|PCYOX_HUMAN,0.3760777860386426,17.15939481507845,,0.007184904995477691,,0.3760777860386426,0.007184904995477691,,,,,,,50,Mixed-effects model (Wald F-test on time),0.21554714986433074,False,Not significant,Prenylcysteine oxidase 1,PCYOX1,PCYOX1,Q9UHG3,PCYOX_HUMAN,SwissProt
sp|P09543|CN37_HUMAN,-0.20265268687190804,13.920650382871047,,0.007618291705161716,,-0.20265268687190804,0.007618291705161716,,,,,,,50,Mixed-effects model (Wald F-test on time),0.2238562381136999,False,Not significant,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",CNP,CNP,P09543,CN37_HUMAN,SwissProt
sp|P28072|PSB6_HUMAN,0.482378972943672,17.83926097897116,,0.007755360245712665,,0.482378972943672,0.007755360245712665,,,,,,,50,Mixed-effects model (Wald F-test on time),0.2238562381136999,False,Not significant,Proteasome subunit beta type-6,PSMB6,PSMB6,P28072,PSB6_HUMAN,SwissProt
sp|P62873|GBB1_HUMAN,-0.3475213376320424,17.54855411638333,,0.007946489891232303,,-0.3475213376320424,0.007946489891232303,,,,,,,50,Mixed-effects model (Wald F-test on time),0.2238562381136999,False,Not significant,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,GNB1,GNB1,P62873,GBB1_HUMAN,SwissProt
sp|P01718|LV327_HUMAN,0.49510875129566634,15.982191431441063,,0.007950398896833103,,0.49510875129566634,0.007950398896833103,,,,,,,50,Mixed-effects model (Wald F-test on time),0.2238562381136999,False,Not significant,Immunoglobulin lambda variable 3-27,IGLV3-27,IGLV3-27,P01718,LV327_HUMAN,SwissProt
sp|Q14974|IMB1_HUMAN,0.3887244217929093,15.84584343046594,,0.007999617122130686,,0.3887244217929093,0.007999617122130686,,,,,,,50,Mixed-effects model (Wald F-test on time),0.2238562381136999,False,Not significant,Importin subunit beta-1,KPNB1,KPNB1,Q14974,IMB1_HUMAN,SwissProt
sp|P51665|PSMD7_HUMAN,0.7154451317219099,13.825848418683947,,0.008050969967247102,,0.7154451317219099,0.008050969967247102,,,,,,,50,Mixed-effects model (Wald F-test on time),0.2238562381136999,False,Not significant,26S proteasome non-ATPase regulatory subunit 7,PSMD7,PSMD7,P51665,PSMD7_HUMAN,SwissProt
sp|O00487|PSDE_HUMAN,0.9653902583662489,13.673976318251448,,0.008355744525067254,,0.9653902583662489,0.008355744525067254,,,,,,,50,Mixed-effects model (Wald F-test on time),0.22600112267491285,False,Not significant,26S proteasome non-ATPase regulatory subunit 14,PSMD14,PSMD14,O00487,PSDE_HUMAN,SwissProt
sp|Q9H2M9|RBGPR_HUMAN,0.8910478778636713,10.153246899498367,,0.008400679172952832,,0.8910478778636713,0.008400679172952832,,,,,,,50,Mixed-effects model (Wald F-test on time),0.22600112267491285,False,Not significant,Rab3 GTPase-activating protein non-catalytic subunit,RAB3GAP2,RAB3GAP2,Q9H2M9,RBGPR_HUMAN,SwissProt
sp|P09172|DOPO_HUMAN,-0.4338198254248219,12.948456266644897,,0.008704897798409687,,-0.4338198254248219,0.008704897798409687,,,,,,,50,Mixed-effects model (Wald F-test on time),0.22600112267491285,False,Not significant,Dopamine beta-hydroxylase,DBH,DBH,P09172,DOPO_HUMAN,SwissProt
