Protein,logFC,AveExpr,t,P.Value,B,group_effect,group_pvalue,time_effect,time_pvalue,aic,bic,n_obs,test_method,adj.P.Val,Significant,Significance,Description_x,Gene,Protein Gene_x,UniProt_Accession_x,UniProt_Entry_Name_x,UniProt_Database,Description_y,Protein Gene_y,UniProt_Accession_y,UniProt_Entry_Name_y
sp|Q15113|PCOC1_HUMAN,-0.0034234232412645783,18.3831882454985,,0.01447153047217348,,0.00016732147081186354,0.9334325372094484,0.10860387638090542,0.09984136782963415,,,36,Mixed-effects model,1.0,False,Not significant,Procollagen C-endopeptidase enhancer 1,PCOLCE,PCOLCE,Q15113,PCOC1_HUMAN,SwissProt,Procollagen C-endopeptidase enhancer 1,PCOLCE,Q15113,PCOC1_HUMAN
sp|P07686|HEXB_HUMAN,0.006194628010264347,14.751566260152096,,0.015351368901047834,,-0.0039798474231811575,0.1789592782323972,-0.4579948041754438,0.00014369086008553545,,,36,Mixed-effects model,1.0,False,Not significant,Beta-hexosaminidase subunit beta,HEXB,HEXB,P07686,HEXB_HUMAN,SwissProt,Beta-hexosaminidase subunit beta,HEXB,P07686,HEXB_HUMAN
sp|P01303|NPY_HUMAN,0.006185812190478728,14.566904379409197,,0.015369533412930658,,0.0018271833050497838,0.6147449151350267,-0.29830007692341387,0.013166953862270464,,,36,Mixed-effects model,1.0,False,Not significant,Pro-neuropeptide Y,NPY,NPY,P01303,NPY_HUMAN,SwissProt,Pro-neuropeptide Y,NPY,P01303,NPY_HUMAN
sp|P00390|GSHR_HUMAN,0.00796707081517607,12.690981644599946,,0.01548026650839138,,-0.003570529550204166,0.298853804849583,-0.24705766012027103,0.1112631940106227,,,36,Mixed-effects model,1.0,False,Not significant,"Glutathione reductase, mitochondrial",GSR,GSR,P00390,GSHR_HUMAN,SwissProt,"Glutathione reductase, mitochondrial",GSR,P00390,GSHR_HUMAN
sp|P04733|MT1F_HUMAN,0.011390310141917768,11.63114254718637,,0.01796322669510564,,-0.014822531002671452,0.0055161752470221925,-0.48049352732110007,0.03420981111962389,,,36,Mixed-effects model,1.0,False,Not significant,Metallothionein-1F,MT1F,MT1F,P04733,MT1F_HUMAN,SwissProt,Metallothionein-1F,MT1F,P04733,MT1F_HUMAN
sp|O95185|UNC5C_HUMAN,0.012728173205158622,12.456761777159318,,0.01981525013192917,,-0.012806393895981462,0.025052934724089048,-0.4251855734844893,0.09874209517624899,,,36,Mixed-effects model,1.0,False,Not significant,Netrin receptor UNC5C,UNC5C,UNC5C,O95185,UNC5C_HUMAN,SwissProt,Netrin receptor UNC5C,UNC5C,O95185,UNC5C_HUMAN
sp|Q06481|APLP2_HUMAN,0.00643112345381333,19.091017762003073,,0.020734081851752476,,-0.0026301066947637896,0.36820354883692163,-0.2688289974284744,0.04028238995265177,,,36,Mixed-effects model,1.0,False,Not significant,Amyloid beta precursor like protein 2,APLP2,APLP2,Q06481,APLP2_HUMAN,SwissProt,Amyloid beta precursor like protein 2,APLP2,Q06481,APLP2_HUMAN
sp|O43556|SGCE_HUMAN,0.006265068361513551,15.30459972629835,,0.021787447204907457,,-0.005378454366660953,0.057970777782694854,-0.31569115005620635,0.014200703665722361,,,36,Mixed-effects model,1.0,False,Not significant,Epsilon-sarcoglycan,SGCE,SGCE,O43556,SGCE_HUMAN,SwissProt,Epsilon-sarcoglycan,SGCE,O43556,SGCE_HUMAN
sp|Q8NBI6|XXLT1_HUMAN,0.014416957226885633,12.394221945714555,,0.022017882254934996,,-0.00976316868775046,0.028292731679042626,-0.6300594224411891,0.03374939434977212,,,36,Mixed-effects model,1.0,False,Not significant,Xyloside xylosyltransferase 1,XXYLT1,XXYLT1,Q8NBI6,XXLT1_HUMAN,SwissProt,Xyloside xylosyltransferase 1,XXYLT1,Q8NBI6,XXLT1_HUMAN
sp|P49641|MA2A2_HUMAN,0.003761593193518693,16.1783425713699,,0.02404874105872179,,-0.0029665726268589218,0.30669758114809476,-0.20021315091905575,0.010846275817996952,,,36,Mixed-effects model,1.0,False,Not significant,Alpha-mannosidase 2x,MAN2A2,MAN2A2,P49641,MA2A2_HUMAN,SwissProt,Alpha-mannosidase 2x,MAN2A2,P49641,MA2A2_HUMAN
sp|Q9UM22|EPDR1_HUMAN,-0.007430411103234259,13.08256465323231,,0.02825061817835464,,0.009985566046826827,0.008444893483514399,0.03650507459819687,0.8191531528081977,,,36,Mixed-effects model,1.0,False,Not significant,Mammalian ependymin-related protein 1,EPDR1,EPDR1,Q9UM22,EPDR1_HUMAN,SwissProt,Mammalian ependymin-related protein 1,EPDR1,Q9UM22,EPDR1_HUMAN
sp|P11279|LAMP1_HUMAN,0.005682683705372943,14.665334899161387,,0.03136348645090183,,-0.0022699213983364513,0.4402979634284675,-0.20966205474709088,0.09206210710039643,,,36,Mixed-effects model,1.0,False,Not significant,Lysosome-associated membrane glycoprotein 1,LAMP1,LAMP1,P11279,LAMP1_HUMAN,SwissProt,Lysosome-associated membrane glycoprotein 1,LAMP1,P11279,LAMP1_HUMAN
sp|Q07954|LRP1_HUMAN,0.002331749696009251,17.25053668283207,,0.033451394477164074,,-0.00028813714501256505,0.8220024314321469,-0.12741388046626836,0.013698131467281768,,,36,Mixed-effects model,1.0,False,Not significant,Prolow-density lipoprotein receptor-related protein 1,LRP1,LRP1,Q07954,LRP1_HUMAN,SwissProt,Prolow-density lipoprotein receptor-related protein 1,LRP1,Q07954,LRP1_HUMAN
sp|O14498|ISLR_HUMAN,-0.005059434075799282,15.779120528263592,,0.03412185582679318,,-0.001161611729555748,0.6575558121237295,0.21193305261906126,0.0597547070183511,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin superfamily containing leucine-rich repeat protein,ISLR,ISLR,O14498,ISLR_HUMAN,SwissProt,Immunoglobulin superfamily containing leucine-rich repeat protein,ISLR,O14498,ISLR_HUMAN
sp|P22891|PROZ_HUMAN,-0.01224469114979555,12.772830219882355,,0.03500141162766069,,0.005973140815525066,0.3786642754152517,0.5535784803961974,0.04317753328386459,,,36,Mixed-effects model,1.0,False,Not significant,Vitamin K-dependent protein Z,PROZ,PROZ,P22891,PROZ_HUMAN,SwissProt,Vitamin K-dependent protein Z,PROZ,P22891,PROZ_HUMAN
sp|Q96CG8|CTHR1_HUMAN,0.008128909236377907,12.546346687451837,,0.03556899112629925,,-0.007038811950242221,0.05133910222715066,-0.23536836511404885,0.19671245808812776,,,36,Mixed-effects model,1.0,False,Not significant,Collagen triple helix repeat-containing protein 1,CTHRC1,CTHRC1,Q96CG8,CTHR1_HUMAN,SwissProt,Collagen triple helix repeat-containing protein 1,CTHRC1,Q96CG8,CTHR1_HUMAN
sp|Q99969|RARR2_HUMAN,0.0027005129271101148,16.913622050063864,,0.03895642347245762,,-0.0032147312481173988,0.06364527376518432,-0.08682208286267958,0.15909907671957868,,,36,Mixed-effects model,1.0,False,Not significant,Retinoic acid receptor responder protein 2,RARRES2,RARRES2,Q99969,RARR2_HUMAN,SwissProt,Retinoic acid receptor responder protein 2,RARRES2,Q99969,RARR2_HUMAN
sp|P00505|AATM_HUMAN,0.005518491138751744,14.460761414645807,,0.039595397948588906,,-0.0028440490399183394,0.30429939094696057,-0.35950029732770805,0.004456078493363302,,,36,Mixed-effects model,1.0,False,Not significant,"Aspartate aminotransferase, mitochondrial",GOT2,GOT2,P00505,AATM_HUMAN,SwissProt,"Aspartate aminotransferase, mitochondrial",GOT2,P00505,AATM_HUMAN
sp|Q86VZ4|LRP11_HUMAN,0.006366348058323924,13.901759729448782,,0.04123164327953323,,-0.004986349698825704,0.14263028698374505,-0.3314213261628405,0.024187517908750674,,,36,Mixed-effects model,1.0,False,Not significant,Low-density lipoprotein receptor-related protein 11,LRP11,LRP11,Q86VZ4,LRP11_HUMAN,SwissProt,Low-density lipoprotein receptor-related protein 11,LRP11,Q86VZ4,LRP11_HUMAN
sp|Q7Z5A7|TAFA5_HUMAN,0.007053460534125328,15.232025964734058,,0.04324570897240551,,-0.005790581437641711,0.14838888103504122,-0.38356082790537516,0.019715738687073436,,,36,Mixed-effects model,1.0,False,Not significant,Chemokine-like protein TAFA-5,TAFA5,TAFA5,Q7Z5A7,TAFA5_HUMAN,SwissProt,Chemokine-like protein TAFA-5,TAFA5,Q7Z5A7,TAFA5_HUMAN
sp|P51801|CLCKB_HUMAN,0.006893070919550789,14.59047491436196,,0.04430165081664038,,-0.0032984473139580587,0.3952767445781813,0.012992223874346285,0.9359070955028914,,,36,Mixed-effects model,1.0,False,Not significant,Chloride channel protein ClC-Kb,CLCNKB,CLCNKB,P51801,CLCKB_HUMAN,SwissProt,Chloride channel protein ClC-Kb,CLCNKB,P51801,CLCKB_HUMAN
sp|P06865|HEXA_HUMAN,-0.0053059750556720495,13.173628174314983,,0.0443734737812129,,0.0005476624268600566,0.8974725185047878,0.21724585667458687,0.08076747371327267,,,36,Mixed-effects model,1.0,False,Not significant,Beta-hexosaminidase subunit alpha,HEXA,HEXA,P06865,HEXA_HUMAN,SwissProt,Beta-hexosaminidase subunit alpha,HEXA,P06865,HEXA_HUMAN
sp|P60022|DEFB1_HUMAN,0.01024853331754653,12.53001570295875,,0.04644005659797058,,-0.0031376715703335905,0.7028013725342372,-0.36250921262684194,0.13511692513160764,,,36,Mixed-effects model,1.0,False,Not significant,Beta-defensin 1,DEFB1,DEFB1,P60022,DEFB1_HUMAN,SwissProt,Beta-defensin 1,DEFB1,P60022,DEFB1_HUMAN
sp|Q2TAL6|VWC2_HUMAN,0.007422468509709911,12.320126296956797,,0.04663386987493309,,-0.00680912467376271,0.08647831486498261,-0.4665272806328956,0.00798293638627835,,,36,Mixed-effects model,1.0,False,Not significant,Brorin,VWC2,VWC2,Q2TAL6,VWC2_HUMAN,SwissProt,Brorin,VWC2,Q2TAL6,VWC2_HUMAN
sp|P39059|COFA1_HUMAN,-0.005586953929876849,13.98980113107378,,0.04681340848160926,,0.002937558046349186,0.4319990347202589,0.18822633267153405,0.1553829167946171,,,36,Mixed-effects model,1.0,False,Not significant,Collagen alpha-1(XV) chain,COL15A1,COL15A1,P39059,COFA1_HUMAN,SwissProt,Collagen alpha-1(XV) chain,COL15A1,P39059,COFA1_HUMAN
sp|Q6FI13|H2A2A_HUMAN / sp|P0C0S8|H2A1_HUMAN / sp|P04908|H2A1B_HUMAN / sp|P0C0S5|H2AZ_HUMAN / sp|P20671|H2A1D_HUMAN / sp|Q9BTM1|H2AJ_HUMAN / sp|Q96QV6|H2A1A_HUMAN / sp|Q71UI9|H2AV_HUMAN / sp|Q7L7L0|H2A3_HUMAN / sp|Q8IUE6|H2A2B_HUMAN / sp|Q99878|H2A1J_HUMAN / sp|P16104|H2AX_HUMAN / sp|Q93077|H2A1C_HUMAN / sp|Q96KK5|H2A1H_HUMAN / sp|Q16777|H2A2C_HUMAN,0.07309955087843896,9.18202844417364,,0.04896935902617982,,-0.030722791311597008,0.2447985796040144,-1.7705711812515688,0.31171754525278883,,,36,Mixed-effects model,1.0,False,Not significant,Histone H2A type 2-A,H2AC18 / H2AC11 / H2AC4 / H2AZ1 / H2AC7 / H2AJ / H2AC1 / H2AZ2 / H2AC25 / H2AC21 / H2AC14 / H2AX / H2AC6 / H2AC12 / H2AC20,H2AC18 / H2AC11 / H2AC4 / H2AZ1 / H2AC7 / H2AJ / H2AC1 / H2AZ2 / H2AC25 / H2AC21 / H2AC14 / H2AX / H2AC6 / H2AC12 / H2AC20,Q6FI13,,,Histone H2A type 2-A,H2AC18 / H2AC11 / H2AC4 / H2AZ1 / H2AC7 / H2AJ / H2AC1 / H2AZ2 / H2AC25 / H2AC21 / H2AC14 / H2AX / H2AC6 / H2AC12 / H2AC20,Q6FI13,
sp|A0M8Q6|IGLC7_HUMAN,-0.016448271375888644,14.467352631745785,,0.04920213529909807,,0.008270592053357492,0.3528943759987383,0.4693963152944309,0.2337805969594854,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin lambda constant 7,IGLC7,IGLC7,A0M8Q6,IGLC7_HUMAN,SwissProt,Immunoglobulin lambda constant 7,IGLC7,A0M8Q6,IGLC7_HUMAN
sp|O94772|LY6H_HUMAN,0.0054374193145070755,18.27719437632039,,0.05115621167924176,,-0.0023070399690914285,0.5245109486898885,-0.285457845798313,0.029867958959524602,,,36,Mixed-effects model,1.0,False,Not significant,Lymphocyte antigen 6H,LY6H,LY6H,O94772,LY6H_HUMAN,SwissProt,Lymphocyte antigen 6H,LY6H,O94772,LY6H_HUMAN
sp|Q8N3J6|CADM2_HUMAN,0.0039625337349948045,16.076982562323302,,0.0512580136656053,,-0.0003881794494845364,0.8700345125344529,-0.18519662859250588,0.05328217588398011,,,36,Mixed-effects model,1.0,False,Not significant,Cell adhesion molecule 2,CADM2,CADM2,Q8N3J6,CADM2_HUMAN,SwissProt,Cell adhesion molecule 2,CADM2,Q8N3J6,CADM2_HUMAN
sp|P55786|PSA_HUMAN,0.011587039114589488,11.693872179287084,,0.05520651094661895,,-0.001712472933533463,0.7110542043030743,-0.588781059053362,0.0387676682322321,,,36,Mixed-effects model,1.0,False,Not significant,Puromycin-sensitive aminopeptidase,NPEPPS,NPEPPS,P55786,PSA_HUMAN,SwissProt,Puromycin-sensitive aminopeptidase,NPEPPS,P55786,PSA_HUMAN
sp|Q6UWN8|ISK6_HUMAN,0.007094362618205275,13.656902376588965,,0.05694925389950457,,-0.012632511900037056,0.01572666573968069,-0.27289473553689725,0.12032481672004257,,,36,Mixed-effects model,1.0,False,Not significant,Serine protease inhibitor Kazal-type 6,SPINK6,SPINK6,Q6UWN8,ISK6_HUMAN,SwissProt,Serine protease inhibitor Kazal-type 6,SPINK6,Q6UWN8,ISK6_HUMAN
sp|Q9BXJ4|C1QT3_HUMAN,0.006258141273966381,14.765696422780662,,0.05919828744647529,,-0.014018394779894167,0.0008989884494643084,-0.3020958933163432,0.05335645941798317,,,36,Mixed-effects model,1.0,False,Not significant,Complement C1q tumor necrosis factor-related protein 3,C1QTNF3,C1QTNF3,Q9BXJ4,C1QT3_HUMAN,SwissProt,Complement C1q tumor necrosis factor-related protein 3,C1QTNF3,Q9BXJ4,C1QT3_HUMAN
sp|P49913|CAMP_HUMAN,0.09151712139357782,5.568556252799311,,0.05968793075064558,,-0.07968619937967353,0.02040489909288716,-0.9502322531899561,0.6783118043067065,,,36,Mixed-effects model,1.0,False,Not significant,Cathelicidin antimicrobial peptide,CAMP,CAMP,P49913,CAMP_HUMAN,SwissProt,Cathelicidin antimicrobial peptide,CAMP,P49913,CAMP_HUMAN
sp|P60174|TPIS_HUMAN,0.004043357462897175,17.039011958851727,,0.06124456346971617,,3.1542545057522205e-05,0.9905579150570185,-0.20667142710499659,0.042408481228113123,,,36,Mixed-effects model,1.0,False,Not significant,Triosephosphate isomerase,TPI1,TPI1,P60174,TPIS_HUMAN,SwissProt,Triosephosphate isomerase,TPI1,P60174,TPIS_HUMAN
sp|Q9NYX4|CALY_HUMAN,-0.011322256570289095,11.158123809683948,,0.06273864824303499,,0.00875625897613053,0.18073183424783124,0.5070303042217466,0.0770742227722832,,,36,Mixed-effects model,1.0,False,Not significant,Neuron-specific vesicular protein calcyon,CALY,CALY,Q9NYX4,CALY_HUMAN,SwissProt,Neuron-specific vesicular protein calcyon,CALY,Q9NYX4,CALY_HUMAN
sp|O15197|EPHB6_HUMAN,0.007070100427747718,14.235838027345729,,0.06336631252562905,,-0.0020887393779600795,0.6700946811691583,-0.41295624236990636,0.021424787208179395,,,36,Mixed-effects model,1.0,False,Not significant,Ephrin type-B receptor 6,EPHB6,EPHB6,O15197,EPHB6_HUMAN,SwissProt,Ephrin type-B receptor 6,EPHB6,O15197,EPHB6_HUMAN
sp|Q8IYS5|OSCAR_HUMAN,0.013406300597901485,12.394151111567147,,0.0653877348798088,,-0.008298728701668352,0.13637485422458684,-1.0796225691805241,0.0016453394568638655,,,36,Mixed-effects model,1.0,False,Not significant,Osteoclast-associated immunoglobulin-like receptor,OSCAR,OSCAR,Q8IYS5,OSCAR_HUMAN,SwissProt,Osteoclast-associated immunoglobulin-like receptor,OSCAR,Q8IYS5,OSCAR_HUMAN
sp|P02747|C1QC_HUMAN,0.004175803243778157,18.019639918518116,,0.06581048148812015,,-0.0014773364001434278,0.520838920539846,-0.21793079042968758,0.04167650282833238,,,36,Mixed-effects model,1.0,False,Not significant,Complement C1q subcomponent subunit C,C1QC,C1QC,P02747,C1QC_HUMAN,SwissProt,Complement C1q subcomponent subunit C,C1QC,P02747,C1QC_HUMAN
sp|A0A075B6H9|LV469_HUMAN,-0.028075781226018736,13.105044474805293,,0.07029645315802743,,-0.017223762806502525,0.4820690932365571,0.731941922256038,0.3168329410585927,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin lambda variable 4-69,IGLV4-69,IGLV4-69,A0A075B6H9,LV469_HUMAN,SwissProt,Immunoglobulin lambda variable 4-69,IGLV4-69,A0A075B6H9,LV469_HUMAN
sp|P61278|SMS_HUMAN,0.0055090705068698365,16.224083981229477,,0.07148426995615713,,-0.0018856011919149683,0.6412228827674794,-0.20171306256092375,0.16153033508829673,,,36,Mixed-effects model,1.0,False,Not significant,Somatostatin,SST,SST,P61278,SMS_HUMAN,SwissProt,Somatostatin,SST,P61278,SMS_HUMAN
sp|Q9UN36|NDRG2_HUMAN,0.005847662899038574,13.337516668341122,,0.07700771523116855,,-0.004269802993097338,0.193111030568762,-0.42967607733189234,0.0058460434224360935,,,36,Mixed-effects model,1.0,False,Not significant,Protein NDRG2,NDRG2,NDRG2,Q9UN36,NDRG2_HUMAN,SwissProt,Protein NDRG2,NDRG2,Q9UN36,NDRG2_HUMAN
sp|P04075|ALDOA_HUMAN,0.004272656844923169,17.14100979563463,,0.07739806006287692,,-0.0030558189664793883,0.29519130127887305,-0.2077044424581554,0.06858675541525275,,,36,Mixed-effects model,1.0,False,Not significant,Fructose-bisphosphate aldolase A,ALDOA,ALDOA,P04075,ALDOA_HUMAN,SwissProt,Fructose-bisphosphate aldolase A,ALDOA,P04075,ALDOA_HUMAN
sp|Q16674|MIA_HUMAN,-0.008913815626972573,13.905677907058767,,0.07821092963430476,,0.00586204113059056,0.3189414308133526,0.10052834931587906,0.6735083402975613,,,36,Mixed-effects model,1.0,False,Not significant,Melanoma-derived growth regulatory protein,MIA,MIA,Q16674,MIA_HUMAN,SwissProt,Melanoma-derived growth regulatory protein,MIA,Q16674,MIA_HUMAN
sp|P78324|SHPS1_HUMAN,0.004755475023218683,18.94689719993206,,0.07877056976700109,,-0.003345932085464235,0.4299645684297171,-0.2682346526174796,0.03543472842773262,,,36,Mixed-effects model,1.0,False,Not significant,Tyrosine-protein phosphatase non-receptor type substrate 1,SIRPA,SIRPA,P78324,SHPS1_HUMAN,SwissProt,Tyrosine-protein phosphatase non-receptor type substrate 1,SIRPA,P78324,SHPS1_HUMAN
sp|P28799|GRN_HUMAN,0.004486116225053397,13.965395149798645,,0.0790326156401896,,-0.0024252911848515295,0.39503463660224847,-0.2075000420958509,0.08483545172292593,,,36,Mixed-effects model,1.0,False,Not significant,Progranulin,GRN,GRN,P28799,GRN_HUMAN,SwissProt,Progranulin,GRN,P28799,GRN_HUMAN
sp|P33151|CADH5_HUMAN,-0.005838754627546804,13.103364550428735,,0.07908918159224235,,0.002254467745481372,0.6143010399041882,0.11999054614439837,0.44396205322928095,,,36,Mixed-effects model,1.0,False,Not significant,Cadherin-5,CDH5,CDH5,P33151,CADH5_HUMAN,SwissProt,Cadherin-5,CDH5,P33151,CADH5_HUMAN
sp|Q8N6Q3|CD177_HUMAN,-0.0068388162968479604,13.218938337337722,,0.08250957202716772,,-0.002112633912471667,0.792639767621744,0.38554247380889245,0.03785121181177296,,,36,Mixed-effects model,1.0,False,Not significant,CD177 antigen,CD177,CD177,Q8N6Q3,CD177_HUMAN,SwissProt,CD177 antigen,CD177,Q8N6Q3,CD177_HUMAN
sp|Q9NX62|IMPA3_HUMAN,0.004059959614744781,15.564633481421911,,0.08426293657067065,,-0.0048731731756522356,0.14062022537480495,-0.0463704972644262,0.6757296163669748,,,36,Mixed-effects model,1.0,False,Not significant,"Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase",BPNT2,BPNT2,Q9NX62,IMPA3_HUMAN,SwissProt,"Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase",BPNT2,Q9NX62,IMPA3_HUMAN
sp|O43424|GRID2_HUMAN,-0.03307962182155057,6.81677821425959,,0.08497651448481554,,0.03270713027590356,0.319151013007145,2.1818540093535796,0.01594838744259552,,,36,Mixed-effects model,1.0,False,Not significant,"Glutamate receptor ionotropic, delta-2",GRID2,GRID2,O43424,GRID2_HUMAN,SwissProt,"Glutamate receptor ionotropic, delta-2",GRID2,O43424,GRID2_HUMAN
sp|Q6E0U4|DMKN_HUMAN,-0.012120634390380759,11.859247583070495,,0.08513519145921997,,0.008074804458289035,0.17490048714141748,0.4447146438782078,0.1802460760600244,,,36,Mixed-effects model,1.0,False,Not significant,Dermokine,DMKN,DMKN,Q6E0U4,DMKN_HUMAN,SwissProt,Dermokine,DMKN,Q6E0U4,DMKN_HUMAN
sp|P02649|APOE_HUMAN,0.004180490550437625,25.00850522092704,,0.08539662979662067,,-0.004606964267931799,0.15979509986893226,-0.22239676558518137,0.05222568155013679,,,36,Mixed-effects model,1.0,False,Not significant,Apolipoprotein E,APOE,APOE,P02649,APOE_HUMAN,SwissProt,Apolipoprotein E,APOE,P02649,APOE_HUMAN
sp|O43505|B4GA1_HUMAN,0.0019861575049250225,19.37947033543601,,0.08611487892395688,,-0.0007109572897461044,0.7166666702635205,-0.14901439813002737,0.006304420328203118,,,36,Mixed-effects model,1.0,False,Not significant,"Beta-1,4-glucuronyltransferase 1",B4GAT1,B4GAT1,O43505,B4GA1_HUMAN,SwissProt,"Beta-1,4-glucuronyltransferase 1",B4GAT1,O43505,B4GA1_HUMAN
sp|Q96HD1|CREL1_HUMAN,0.0046161277214016505,13.585791327228916,,0.08674398021829663,,-0.007215238773779775,0.1720314186992602,-0.10182790891357615,0.4228360730530152,,,36,Mixed-effects model,1.0,False,Not significant,Protein disulfide isomerase CRELD1,CRELD1,CRELD1,Q96HD1,CREL1_HUMAN,SwissProt,Protein disulfide isomerase CRELD1,CRELD1,Q96HD1,CREL1_HUMAN
sp|A0A075B6I9|LV746_HUMAN,0.005028172034350589,17.0565527811302,,0.08740556338432905,,-0.003312603538627973,0.6127302864155001,-0.07713442206180064,0.5780586354562871,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin lambda variable 7-46,IGLV7-46,IGLV7-46,A0A075B6I9,LV746_HUMAN,SwissProt,Immunoglobulin lambda variable 7-46,IGLV7-46,A0A075B6I9,LV746_HUMAN
sp|P05543|THBG_HUMAN,-0.008416735934824608,13.777566906768314,,0.08968797219931167,,0.006220647655811127,0.43330409464985165,0.4377212807679947,0.06117799779260833,,,36,Mixed-effects model,1.0,False,Not significant,Thyroxine-binding globulin,SERPINA7,SERPINA7,P05543,THBG_HUMAN,SwissProt,Thyroxine-binding globulin,SERPINA7,P05543,THBG_HUMAN
apoE_E2,0.02190762330839642,10.18565198862721,,0.09017800912217379,,-0.00030323676832155576,0.989701532540608,-1.0836617935941322,0.07540104441901967,,,36,Mixed-effects model,1.0,False,Not significant,Human Apolipoprotein E2 peptide,,,,,,Human Apolipoprotein E2 peptide,,,
